fecha,hora,numero,signo,extraido_en,fecha_raw,hora_num,ultimo_digito,penultimo_digito,suma_digitos,paridad,signo_cod,rango_mil,año,mes,dia_mes,dia_semana,dias_desde_inicio
2025-02-05,10 pm,5637,PIC,2025-12-20 05:27:33,05/02/2025,22,7,3,21,1,8,5000-5999,2025,2,5,2,34
2025-02-05,4 pm,1432,ACU,2025-12-20 05:27:33,05/02/2025,16,2,3,10,0,7,1000-1999,2025,2,5,2,34
2025-03-05,1 pm,2794,TAU,2025-12-20 05:37:35,05/03/2025,13,4,9,22,0,3,2000-2999,2025,3,5,2,62
2025-03-05,10 pm,7784,GEM,2025-12-20 05:37:36,05/03/2025,22,4,8,26,0,0,7000-7999,2025,3,5,2,62
2025-03-05,4 pm,2489,GEM,2025-12-20 05:37:36,05/03/2025,16,9,8,23,1,0,2000-2999,2025,3,5,2,62
2025-04-05,1 pm,3612,GEM,2025-12-20 05:49:53,05/04/2025,13,2,1,12,0,0,3000-3999,2025,4,5,5,93
2025-04-05,10 pm,1637,ESC,2025-12-20 05:49:53,05/04/2025,22,7,3,17,1,2,1000-1999,2025,4,5,5,93
2025-04-05,4 pm,2404,TAU,2025-12-20 05:49:53,05/04/2025,16,4,0,10,0,3,2000-2999,2025,4,5,5,93
2025-05-05,1 pm,168,ACU,2025-12-20 06:00:38,05/05/2025,13,8,6,15,0,7,0-999,2025,5,5,0,123
2025-05-05,10 pm,647,LEO,2025-12-20 06:00:39,05/05/2025,22,7,4,17,1,1,0-999,2025,5,5,0,123
2025-05-05,4 pm,5040,TAU,2025-12-20 06:00:39,05/05/2025,16,0,4,9,0,3,5000-5999,2025,5,5,0,123
2025-06-05,1 pm,3725,CAP,2025-12-20 06:11:46,05/06/2025,13,5,2,17,1,4,3000-3999,2025,6,5,3,154
2025-06-05,10 pm,4638,VIR,2025-12-20 06:11:47,05/06/2025,22,8,3,21,0,11,4000-4999,2025,6,5,3,154
2025-06-05,4 pm,2535,ACU,2025-12-20 06:11:46,05/06/2025,16,5,3,15,1,7,2000-2999,2025,6,5,3,154
2025-07-05,1 pm,807,TAU,2025-12-20 06:22:33,05/07/2025,13,7,0,15,1,3,0-999,2025,7,5,5,184
2025-07-05,10 pm,5639,ARI,2025-12-20 06:22:34,05/07/2025,22,9,3,23,1,9,5000-5999,2025,7,5,5,184
2025-07-05,4 pm,2213,ACU,2025-12-20 06:22:34,05/07/2025,16,3,1,8,1,7,2000-2999,2025,7,5,5,184
2025-08-05,1 pm,5140,ESC,2025-12-20 06:33:40,05/08/2025,13,0,4,10,0,2,5000-5999,2025,8,5,1,215
2025-08-05,10 pm,8864,CAN,2025-12-20 06:33:40,05/08/2025,22,4,6,26,0,5,8000-8999,2025,8,5,1,215
2025-08-05,4 pm,7153,CAP,2025-12-20 06:33:40,05/08/2025,16,3,5,16,1,4,7000-7999,2025,8,5,1,215
2025-09-05,1 pm,8504,ACU,2025-12-20 06:44:48,05/09/2025,13,4,0,17,0,7,8000-8999,2025,9,5,4,246
2025-09-05,10 pm,5757,LEO,2025-12-20 06:44:48,05/09/2025,22,7,5,24,1,1,5000-5999,2025,9,5,4,246
